ID,road_name,TotalCount
1,Alfred Street,17385
2,Argyle Street,8766
3,Arundel Street,3552
4,Baptist Street,4286
5,Bayswater Road,1547
6,Bent Street,4631
7,Botany Road,4128
8,Bourke Street,10769
9,Bridge Street,23079
10,Broadway,36500
11,Burton Street,4557
12,Chalmers Street,15977
13,City Road,7650
14,Cleveland Street,9033
15,Cowper Wharf Road,5019
16,Craigend Road,1083
17,Crown Street,26502
18,Customs House Forecourt,12971
19,Darlinghurst Road,7742
20,Darlinghust Road,43061
21,Druitt Street,46067
22,Elizabeth Street,64742
23,Erskine Street,27147
24,Foveaux Street,13476
25,George Street,768572
26,Glebe Foreshore Walk,3743
27,Glebe Point Road,27909
28,Harbour Bridge,3891
29,Harris Street,24984
30,Hay Street,18212
31,Hyde Park,5052
32,King Street,74304
33,Kings Cross Road,2078
34,Margaret Street,64292
35,Market Street,36135
36,Martin Place,91724
37,Miller Street,5423
38,Moore Park Road,6764
39,O'Riordan Street,1565
40,Oxford Street,81084
41,Park Street,102476
42,Pitt Street Mall,67844
43,Prince Alfred Park,2736
44,Princess Highway,1128
45,Pyrmont Bridge Road,7679
46,Quarry Street,2652
47,Railway Square,20043
48,Redfern Street,20027
49,Rozelle Bay,3134
50,South Dowling Street,864
51,South Downling Street,1773
52,St James Road,4878
53,St Johns Road,1904
54,Sydney Park,864
55,Victoria Street,17708
56,William Street,23850
57,York Street,26121
58,Young Street,9110
